kind,symbol,title
s,A,HUMAN NECESSITIES
c,A01,AGRICULTUREFORESTRYANIMAL HUSBANDRYHUNTINGTRAPPINGFISHING
u,A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRYPARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERALmaking or covering furrows or holes for sowing, planting or manuring machines for harvesting root crops mowers convertible to soil working apparatus or capable of soil working mowers combined with soil working implements soil working for engineering purposes , ,"
u,A01C,"PLANTINGSOWINGFERTILISINGparts, details or accessories of agricultural machines or implements, in general"
u,A01D,HARVESTINGMOWING
u,A01F,"THRESHINGcombines BALING OF STRAW, HAY OR THE LIKESTATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW, HAY OR THE LIKE INTO BUNDLESCUTTING OF STRAW, HAY OR THE LIKESTORING AGRICULTURAL OR HORTICULTURAL PRODUCEarrangements for making or setting stacks in connection with harvesting"
u,A01G,"HORTICULTURECULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEEDFORESTRYWATERINGpicking of fruits, vegetables, hops or the like  propagating unicellular algae"
u,A01H,NEW PLANTS OR PROCESSES FOR OBTAINING THEMPLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES
u,A01J,"MANUFACTURE OF DAIRY PRODUCTSfor chemical matters, see subclass"
u,A01K,"ANIMAL HUSBANDRYAVICULTUREAPICULTUREPISCICULTUREFISHINGREARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FORNEW BREEDS OF ANIMALS"
u,A01L,SHOEING OF ANIMALS
u,A01M,"CATCHING, TRAPPING OR SCARING OF ANIMALSappliances for catching swarms or drone-catching   fishing   biocides, pest repellants or attractants APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS"
u,A01N,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF preservation of food or foodstuff BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES preparations for medical, dental or toiletry purposes which kill or prevent the growth or proliferation of unwanted organisms PEST REPELLANTS OR ATTRACTANTSPLANT GROWTH REGULATORS"
u,A01P,"BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS"
c,A21,BAKINGEQUIPMENT FOR MAKING OR PROCESSING DOUGHSDOUGHS FOR BAKING
u,A21B,BAKERS' OVENSMACHINES OR EQUIPMENT FOR BAKINGdomestic baking equipment
u,A21C,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHSHANDLING BAKED ARTICLES MADE FROM DOUGH
u,A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH FOR BAKING, e.g. BY ADDITION OF MATERIALSBAKINGBAKERY PRODUCTSPRESERVATION THEREOF"
c,A22,BUTCHERINGMEAT TREATMENTPROCESSING POULTRY OR FISH
u,A22B,SLAUGHTERING
u,A22C,"PROCESSING MEAT, POULTRY, OR FISHpreserving obtaining protein compositions for foodstuffs fish, meat or poultry preparations disintegrating, e.g. chopping meat, preparation of proteins"
c,A23,"FOODS OR FOODSTUFFSTREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
u,A23B,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDSCHEMICAL RIPENING OF FRUIT OR VEGETABLESTHE PRESERVED, RIPENED, OR CANNED PRODUCTS"
u,A23C,"DAIRY PRODUCTS, e.g. MILK, BUTTER OR CHEESEMILK OR CHEESE SUBSTITUTESMAKING THEREOF obtaining protein compositions for foodstuffs"
u,A23D,"EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILSobtaining, refining, preserving , hydrogenation"
u,A23F,"COFFEETEATHEIR SUBSTITUTESMANUFACTURE, PREPARATION, OR INFUSION THEREOF"
u,A23G,"COCOACOCOA PRODUCTS, e.g. CHOCOLATESUBSTITUTES FOR COCOA OR COCOA PRODUCTSCONFECTIONERYCHEWING GUMICE-CREAMPREPARATION THEREOF"
u,A23J,PROTEIN COMPOSITIONS FOR FOODSTUFFSWORKING-UP PROTEINS FOR FOODSTUFFSPHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS
u,A23K,FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALSMETHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF
u,A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES  OR THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT shaping or working, not fully covered by this subclass, PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL"
u,A23N,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES, OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FORPEELING VEGETABLES OR FRUIT IN BULKAPPARATUS FOR PREPARING ANIMAL FEEDING-STUFFSmachines for cutting straw or fodder disintegrating, e.g. shredding, severing, e.g. cutting, splitting, slicing, ,"
u,A23P,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS"
c,A24,TOBACCOCIGARSCIGARETTESSIMULATED SMOKING DEVICESSMOKERS' REQUISITES
u,A24B,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWINGTOBACCOSNUFF
u,A24C,MACHINES FOR MAKING CIGARS OR CIGARETTES
u,A24D,CIGARSCIGARETTESTOBACCO SMOKE FILTERSMOUTHPIECES FOR CIGARS OR CIGARETTESMANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES
u,A24F,"SMOKERS’ REQUISITESMATCH BOXESSIMULATED SMOKING DEVICESinhaling appliances for medical purposes, shaped like cigars, cigarettes or pipes"
c,A41,WEARING APPAREL
u,A41B,SHIRTSUNDERWEARBABY LINENHANDKERCHIEFS
u,A41C,CORSETSBRASSIÈRES
u,A41D,OUTERWEARPROTECTIVE GARMENTSACCESSORIES
u,A41F,GARMENT FASTENINGSSUSPENDERS
u,A41G,ARTIFICIAL FLOWERSWIGSMASKSFEATHERS
u,A41H,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING OR FOR TAILORING, NOT OTHERWISE PROVIDED FOR"
c,A42,HEADWEAR
u,A42B,HATSHEAD COVERINGS headbands  head-scarves
u,A42C,"MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS"
c,A43,FOOTWEAR
u,A43B,CHARACTERISTIC FEATURES OF FOOTWEARPARTS OF FOOTWEAR
u,A43C,FASTENINGS OR ATTACHMENTS FOR FOOTWEARLACES IN GENERAL
u,A43D,"MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEARsewing"
c,A44,HABERDASHERYJEWELLERY
u,A44B,"BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKEfastenings specially adapted for footwear"
u,A44C,"PERSONAL ADORNMENTS, e.g. JEWELLERYCOINS"
c,A45,HAND OR TRAVELLING ARTICLES
u,A45B,"WALKING STICKSwalking aids, e.g. sticks, for blind persons UMBRELLASLADIES' OR LIKE FANScane or umbrella stands or holders"
u,A45C,PURSESLUGGAGEHAND CARRIED BAGS
u,A45D,"HAIRDRESSING OR SHAVING EQUIPMENT  wigs, toupees or the like ,   hairdressers' chairs   hair cutting appliances, razors EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS, e.g. FOR MANICURING OR PEDICURING"
u,A45F,TRAVELLING OR CAMP EQUIPMENTSACKS OR PACKS CARRIED ON THE BODY
c,A46,BRUSHWARE
u,A46B,BRUSHEShandles not integral with brushware
u,A46D,MANUFACTURE OF BRUSHES
c,A47,FURNITUREDOMESTIC ARTICLES OR APPLIANCESCOFFEE MILLSSPICE MILLSSUCTION CLEANERS IN GENERAL
u,A47B,TABLESDESKSOFFICE FURNITURECABINETSDRAWERSGENERAL DETAILS OF FURNITUREjointing of furniture
u,A47C,CHAIRSseats specially adapted for vehicles SOFASBEDSupholstery in general
u,A47D,"FURNITURE SPECIALLY ADAPTED FOR CHILDRENschool benches or desks ,"
u,A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS, OR THE LIKEPAYING COUNTERS"
u,A47G,HOUSEHOLD OR TABLE EQUIPMENTbook-ends knives
u,A47H,"FURNISHINGS FOR WINDOWS OR DOORSconcerned with the functioning of the door or window roller blinds special arrangements or measures in connection with doors or windows, e.g. for ventilation or sealing,"
u,A47J,KITCHEN EQUIPMENTCOFFEE MILLSSPICE MILLSAPPARATUS FOR MAKING BEVERAGES
u,A47K,"SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FORconnecting to water supply or waste pipe, sinks water-closets TOILET ACCESSORIEScosmetic equipment"
u,A47L,DOMESTIC WASHING OR CLEANINGbrushes cleaning quantities of bottles or of other hollow articles of one kind laundry SUCTION CLEANERS IN GENERALcleaning in general
c,A61,MEDICAL OR VETERINARY SCIENCEHYGIENE
u,A61B,"DIAGNOSISSURGERYIDENTIFICATIONanalysing biological material , e.g."
