kind,symbol,title
s,A,
c,A01,
u,A01B,
u,A01C,
u,A01D,
u,A01F,
u,A01G,
u,A01H,
u,A01J,
u,A01K,
u,A01L,
u,A01M,
u,A01N,
u,A01P,
c,A21,
u,A21B,
u,A21C,
u,A21D,
c,A22,
u,A22B,
u,A22C,
c,A23,
u,A23B,
u,A23C,
u,A23D,
u,A23F,
u,A23G,
u,A23J,
u,A23K,
u,A23L,
u,A23N,
u,A23P,
c,A24,
u,A24B,
u,A24C,
u,A24D,
u,A24F,
c,A41,
u,A41B,
u,A41C,
u,A41D,
u,A41F,
u,A41G,
u,A41H,
c,A42,
u,A42B,
u,A42C,
c,A43,
u,A43B,
u,A43C,
u,A43D,
c,A44,
u,A44B,
u,A44C,
c,A45,
u,A45B,
u,A45C,
u,A45D,
u,A45F,
c,A46,
u,A46B,
u,A46D,
c,A47,
u,A47B,
u,A47C,
u,A47D,
u,A47F,
u,A47G,
u,A47H,
u,A47J,
u,A47K,
u,A47L,
c,A61,
u,A61B,
u,A61C,
u,A61D,
u,A61F,
u,A61G,
u,A61H,
u,A61J,
u,A61K,
u,A61L,
u,A61M,
u,A61N,
u,A61P,
u,A61Q,
c,A62,
u,A62B,
u,A62C,
u,A62D,
c,A63,
u,A63B,
u,A63C,
u,A63D,
u,A63F,
u,A63G,
u,A63H,
u,A63J,
u,A63K,
c,A99,
u,A99Z,
s,B,
c,B01,
u,B01B,
u,B01D,
u,B01F,
u,B01J,
u,B01L,
c,B02,
u,B02B,
u,B02C,
c,B03,
u,B03B,
u,B03C,
u,B03D,
c,B04,
u,B04B,
u,B04C,
c,B05,
u,B05B,
u,B05C,
u,B05D,
c,B06,
u,B06B,
c,B07,
u,B07B,
u,B07C,
c,B08,
u,B08B,
c,B09,
u,B09B,
u,B09C,
c,B21,
u,B21B,
u,B21C,
u,B21D,
u,B21F,
u,B21G,
u,B21H,
u,B21J,
u,B21K,
u,B21L,
c,B22,
u,B22C,
u,B22D,
u,B22F,
c,B23,
u,B23B,
u,B23C,
u,B23D,
u,B23F,
u,B23G,
u,B23H,
u,B23K,
u,B23P,
u,B23Q,
c,B24,
u,B24B,
u,B24C,
